ScientificName,NuContAvailable,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,AvDryMatter%
Phaseolus vulgaris,"N,P,K",Vegetable,lb straw/cwt grain,76.14,12.3,1.274971942,0.151967826,1.594927048,,89.1,85.7,87,87.7
Phaseolus lunatus,"N,P",Vegetable,lb of fruit,1,69,3.664516129,0.564516129,#DIV/0!,1,,,,31
Phaseolus lunatus,"N,P,K",Vegetable,lb of fruit,1,71,3.475862069,0.5,0.896551724,1,,,,29
Phaseolus lunatus,"N,P,K",Vegetable,cwt,100,9.98,3.594547486,0.408058659,1.854860335,100,89.5,89.6,91,90.03
Phaseolus lunatus,"N,P,K",Vegetable,ton,2000,10.95,1.198629256,0.14295174,1.142390572,"2,000",89.1,,,89.05
Phaseolus vulgaris,"N,P,K",Vegetable,cwt,100,10.38,4.028666667,0.608333333,1.432777778,100,90,89.7,89.8,89.63
Phaseolus vulgaris,"N,P,K",Vegetable,lb straw/cwt grain,76.14,10.93,1.155962589,0.14530116,1.141593715,,89.1,,89.1,89.07
Phaseolus vulgaris,N,Vegetable,cwt,100,10,4,#DIV/0!,#DIV/0!,100,,,,90
Phaseolus vulgaris,"N,P,K",Vegetable,lb of fruit,1,87.75,2.995652174,0.498695652,2.304347826,1,,,,12.25
Fagus grandifolia,N,Tree and fruit,lb of nut,1,6.6,1.062098501,#DIV/0!,#DIV/0!,1,,,,93.4
Beta vulgaris,"N,P,K",Vegetable,lb of root,1,87.46,2.145927273,0.323538462,2.457552389,25,13,12.7,,12.54
Beta vulgaris,"N,P,K",Vegetable,lb of leaf,1,87.95,3.686,0.44,6.26,35,,9.1,,12.05
Agrostis capillaris,"N,P,K",Forage,ton,2000,13.1,1.136,0.2,1.6,"2,000",,86.9,,86.9
Cynodon dactylon,"N,P,K",Forage,ton,2000,70.88,1.878,0.1925,1.9575,"2,000",25,30.9,31.6,29.13
Cynodon dactylon,"N,P,K",Forage,ton,2000,68.33,1.735047619,0.21,1.735714286,"2,000",35,35,,31.67
Cynodon dactylon,"N,P,K",Forage,ton,2000,68.33,1.518380952,0.19,1.3,"2,000",35,35,,31.67
Cynodon dactylon,"N,P,K",Forage,ton,2000,75,2.75,0.23,2.13,"2,000",,,,25
Cynodon dactylon,"N,P,K",Forage,ton,2000,9.05,1.374556169,0.189986188,1.549765193,"2,000",90.5,91.2,91.1,90.95
Cynodon dactylon,N,Forage,ton,2000,11.05,1.61,#DIV/0!,#DIV/0!,"2,000",,92.9,,88.95
Cynodon dactylon,N,Forage,ton,2000,11.4,1.198,#DIV/0!,#DIV/0!,"2,000",,92.2,,88.6
Cynodon dactylon,N,Forage,ton,2000,12.2,2.354,#DIV/0!,#DIV/0!,"2,000",,90.6,,87.8
Rubus sp.,"N,P,K",Tree and fruit,lb of fruit ,1,85.64,0.802228412,0.146239554,1.364902507,11,,,,14.36
Vigna unguiculata ssp. unguiculata,"N,P,K",Vegetable,cwt,100,85,3.52,0.52,1.466666667,100,,,,15
Vaccinium sp.,"N,P,K",Tree and fruit,lb of fruit ,1,84.61,0.696556205,0.064977258,0.578297596,11,,,,15.39
Poa sp.,"N,P,K",Forage,ton,2000,68.85,2.913907285,0.430463576,1.953642384,"2,000",30.2,32.1,,31.15
Poa sp.,"N,P,K",Forage,ton,2000,64.3,2.352,0.29,2.14,"2,000",,35.7,,35.7
Poa sp.,"N,P,K",Forage,ton,2000,67.1,1.168,0.27,1.37,"2,000",,32.9,,32.9
